UniProt_ID,Name,Category,Type_ID,Type_Name,Psi_Peak,Psi_Avg,Xi_W,Beta,Disorder,HC,Agg_Bias,L,W_IDP,Omega_F,Omega_I,Omega_v20,Pathology_Index_Raw,Pathology_Index_Scaled,Pathology_Index,Hidden_Core
Q96G97,BSCL2,Pathogenic,6,Boundary_Hybrid,0.44274286771621785,0.190171903927236,0.17446547900809764,1.3277350427350427,0.314070351758794,0.2712468193384224,0.1758793969849246,398,0.15246764493654077,0.5077649554948709,0.7330685767436362,0.4638479707446561,1.546159902482187,2.3970426652689314,2.3970426652689314,Core_35-45_10aa
P37288,AVPR1A,Pathogenic,3,High_HC_Folded,0.3993180297568455,0.1688375372599761,0.15641857525567163,1.3841056910569105,0.27751196172248804,0.30169491525423725,0.2200956937799043,418,0.07149456184478167,0.5421592342661304,0.48484272444159693,0.46246988539660955,1.5415662846553653,2.3906255206071005,2.3906255206071005,Core_290-300_10aa
O15554,KCNN4,Pathogenic,3,High_HC_Folded,0.4427428677162176,0.1863000967272531,0.17321109695718848,1.306904761904762,0.22950819672131148,0.31943127962085305,0.31381733021077285,427,0.0881277168659455,0.5553184822705277,0.3687017861049333,0.462431349382285,1.5414378312742834,2.3904459580802633,2.3904459580802633,Core_70-80_10aa
Q9UKU6,TRHDE,Pathogenic,3,High_HC_Folded,0.9691903264523893,0.2429768103756281,0.23615800372336537,1.2955974842767293,0.245088868101029,0.25620300751879693,0.23854069223573432,1069,0.10994319005528999,0.5281401829149489,0.6145944318293121,0.4621108144128513,1.540369381376171,2.3889521445891075,2.3889521445891075,Core_85-105_20aa
Q96J92,WNK4,Pathogenic,1,Classic_IDP,0.5916885337638836,0.25012138303055553,0.2420573110346451,1.20529810298103,0.37248592115848755,0.12455573505654279,0.08366854384553499,1243,0.42345933166797634,0.14124531136889235,1.2938003357749603,0.4615856951103222,1.5386189837010742,2.386503933106397,2.386503933106397,Core_355-365_10aa
Q9NYA1,SPHK1,Pathogenic,3,High_HC_Folded,0.4427428677162178,0.21091087936247296,0.19443346691227978,1.31027027027027,0.2682291666666667,0.27440633245382584,0.31510416666666663,384,0.1218539811616596,0.5329519428832777,0.5224146774784296,0.4584775627069052,1.5282585423563508,2.371988602466207,2.371988602466207,Core_255-265_10aa
O76024,WFS1,Pathogenic,3,High_HC_Folded,0.5283779745131485,0.23466665543174492,0.22663856592280968,1.3502840909090907,0.23820224719101124,0.2867796610169491,0.2707865168539326,890,0.06848398419198241,0.536646048252344,0.4548474732505408,0.45799746999814245,1.5266582333271415,2.3697427261328157,2.3697427261328157,Core_505-515_10aa
Q92581,SLC9A6,Pathogenic,3,High_HC_Folded,0.409242691134385,0.17252520455603335,0.16487220008145273,1.3354106280193236,0.24821683309557774,0.31724137931034474,0.2667617689015692,701,0.08473112045748574,0.5419791059047899,0.4069739955989673,0.4574694058908088,1.5248980196360293,2.367271256735511,2.367271256735511,Core_515-525_10aa
Q687X5,STEAP4,Pathogenic,3,High_HC_Folded,0.3348271343194025,0.17491879143513062,0.16344043905374958,1.3595555555555554,0.24183006535947713,0.34757709251101315,0.30501089324618735,459,0.06543016257967964,0.5417779573382584,0.36349003815793096,0.45707917079789295,1.5235972359929766,2.365444062148212,2.365444062148212,Core_210-220_10aa
Q8IUX1,TMEM126B,Pathogenic,3,High_HC_Folded,0.44770637699277865,0.20054646565126044,0.17438823100109604,1.3450757575757577,0.23043478260869565,0.2764444444444444,0.2652173913043478,230,0.0664961662965386,0.5370624577281559,0.42014149074060547,0.45679610113593444,1.5226536704531148,2.364118221319706,2.364118221319706,Core_200-210_10aa
